id,observed_on,place_guess,latitude,longitude,species_guess,scientific_name
70514495,2021-03-01,"Hamilton, MT 59840, USA",46.2551493701,-114.1637626291,Western Conifer Seed Bug,Leptoglossus occidentalis
70514496,2020-08-11,"Seeley Lake, Missoula County, MT, USA",47.2228281528,-113.5313487053,Chevron Moth,Eulithis testata
70518281,2021-03-03,"Pantzer Hall, Missoula, MT 59812, USA",46.857888,-113.9886199722,sorgmantel,Nymphalis antiopa
70523130,2018-06-24,"Lake County, MT, USA",47.4261013389,-114.1656985122,Cabbage White,Pieris rapae
70563873,2021-03-03,"Missoula County, US-MT, US",46.70925,-114.06636,Dot-and-Dash Swordgrass Moth,Xylena curvimacula
70643891,2008-07-04,"Missoula County, US-MT, US",46.930076885,-114.030257495,Peck's Skipper,Polites peckius
70643938,2008-07-04,"Missoula County, US-MT, US",46.930076885,-114.030257495,Essex Skipper,Thymelicus lineola
70677749,2021-03-05,"Ravalli County, US-MT, US",46.45709,-113.99403,Hoary Pinion Moth,Lithophane fagina
70678001,2021-03-05,"Ravalli County, US-MT, US",46.45709,-113.99403,American Swordgrass Moth,Xylena nupera
70800399,2020-04-29,"Missoula County, US-MT, US",46.930255555,-114.0317222217,Spodolepis substriataria,Spodolepis substriataria
70800569,2020-06-14,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.8249083333,-114.0622861117,Glassy Cutworm Moth,Apamea devastator
70841671,2017-06-26,"Glacier National Park, MT, USA",48.4778898226,-113.4040963111,Ornate Checkered Beetle,Trichodes ornatus
70958994,2015-09-20,"Lolo, MT, USA",46.76293777,-114.064742285,Western Conifer Seed Bug,Leptoglossus occidentalis
70968384,2015-08-04,"Kalispell, MT 59901, USA",48.2157234213,-114.3105858495,Pacific Forktail,Ischnura cervula
70968386,2015-08-04,"Kalispell, MT 59901, USA",48.21578499,-114.3105710974,Paddle-tailed Darner,Aeshna palmata
70968387,2015-08-04,"Kalispell, MT 59901, USA",48.2158470037,-114.3105482986,Paddle-tailed Darner,Aeshna palmata
70968390,2015-08-04,"Kalispell, MT 59901, USA",48.2156456708,-114.3105228881,Variable Darner,Aeshna interrupta
70968391,2015-08-04,"Kalispell, MT 59901, USA",48.2156014808,-114.3104806786,Western Forktail,Ischnura perparva
70968394,2015-08-04,"Kalispell, MT 59901, USA",48.2155556446,-114.3104603505,White-faced Meadowhawk,Sympetrum obtrusum
70982877,2020-10-05,"Orchard Homes, MT, USA",46.85451,-114.0864016667,Western Honey Bee,Apis mellifera
70982906,2020-10-08,"Missoula County, MT, USA",46.83377,-114.09901,Isabella Tiger Moth,Pyrrharctia isabella
71080832,2019-04-19,"Hamilton, MT 59840, USA",46.2551530793,-114.1637438536,Speckled Green Fruitworm Moth,Orthosia hibisci
71080833,2020-04-09,"Hamilton, MT 59840, USA",46.2551530793,-114.1637438536,Speckled Green Fruitworm Moth,Orthosia hibisci
71097673,2021-03-12,"Southgate Triangle, Missoula, MT, USA",46.8429019,-114.0244313997,Calligrapha sigmoidea,Calligrapha sigmoidea
71152197,2019-08-12,"Missoula County, MT, USA",46.8243483333,-114.0643816667,Hunt's Bumble Bee,Bombus huntii
71153249,2019-08-12,"Missoula County, MT, USA",46.8237830683,-114.061441965,Western Honey Bee,Apis mellifera
71153293,2019-08-12,"Missoula County, MT, USA",46.8237830683,-114.061441965,Vespula pensylvanica,Vespula pensylvanica
71153443,2019-08-12,"Missoula County, MT, USA",46.8237830683,-114.061441965,White-faced Meadowhawk,Sympetrum obtrusum
71154828,2019-08-12,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.8237830683,-114.061441965,Tharsalea helloides,Tharsalea helloides
71184314,2019-08-12,"Missoula County, US-MT, US",46.9301583333,-114.0316783333,Hemlock Looper Moth,Lambdina fiscellaria
71184532,2019-08-12,"Missoula County, US-MT, US",46.9301583333,-114.0316783333,Euxoa bochus,Euxoa bochus
71184592,2019-08-12,"Missoula County, US-MT, US",46.9301583333,-114.0316783333,Euxoa bochus,Euxoa bochus
71188602,2019-04-25,"Missoula County, US-MT, US",46.9300425567,-114.03171867,Banded Pebble Moth,Gluphisia severa
71274812,2017-07-08,"Riverfront, Missoula, MT, USA",46.8674340877,-114.0132574742,Horned Spanworm Moth,Nematocampa resistaria
71359391,2016-07-04,"Sanders County, MT, USA",47.3248444444,-114.2167055556,Pale Snaketail,Ophiogomphus severus
71399999,2021-02-06,"Creston, MT 59901, USA",48.337454,-114.294745,Eastern Boxelder Bug,Boisea trivittata
71427099,2021-03-17,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.70307,-114.0665,Brown Satyr Moth,Ufeus satyricus sagittarius
71427181,2021-03-17,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.70307,-114.0665,Lithophane ponderosa,Lithophane ponderosa
