"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-01","0.00","49","60","42"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-02","0.00","51","61","42"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-03","0.00","44","62","28"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-04","0.00","49","75","33"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-05","0.00","62","76","48"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-06","0.00","57","79","39"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-07","0.00","62","80","44"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-08","0.00","57","77","42"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-09","0.00","57","74","43"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-10","0.00","54","73","37"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-11","0.28","53","65","41"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-12","0.04","48","55","40"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-13","0.00","47","66","37"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-14","0.00","50","70","36"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-15","0.07","51","60","37"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-16","0.00","47","57","36"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-17","0.00","41","59","26"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-18","0.00","49","63","39"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-19","0.00","47","66","32"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-20","0.00","47","70","30"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-21","0.56","51","55","42"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-22","0.00","45","62","33"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-23","0.06","54","61","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-24","0.09","48","52","42"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-25","0.00","45","53","39"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-26","0.01","47","51","40"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-27","0.00","42","50","29"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-28","0.05","34","46","24"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-29","0.00","42","50","36"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-30","0.00","42","56","36"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-10-31","0.00","43","59","32"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-11-01","0.75","41","48","34"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-11-02","0.31","40","46","35"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-11-03","0.00","38","47","34"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-11-04","0.01","44","50","39"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-11-05","0.00","47","51","42"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-11-06","0.06","47","63","38"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-11-07","0.00","50","53","32"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2014-11-08","0.00","35","47","24"
