"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-01","0.00",,"40","10"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-02","0.01",,"40","33"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-03","0.00",,"40","25"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-04","0.15",,"38","22"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-05","0.00",,"31","17"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-06","0.42",,"36","21"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-07","0.58",,"37","29"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-08","0.03",,"39","17"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-09","0.00",,"31","11"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-10","0.03",,"30","4"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-11","0.01",,"36","20"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-12","0.00",,"26","3"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-13","0.00",,"23","-1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-14","0.00",,"23","0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-15","0.00",,"30","7"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-16","0.00",,"23","1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-17","0.02",,"27","6"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-18","0.00",,"23","4"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-19","0.00",,"32","10"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-20","0.00",,"29","11"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","1948-01-21","0.00",,"43","25"
