"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-03","0.00","6","16","-1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-04","0.00","4","18","-4"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-05","0.00","4","19","-10"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-06","0.01","20","34","15"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-07","0.07","30","38","16"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-08","0.00","20","32","7"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-09","0.00","20","31","6"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-10","0.00","17","36","3"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-11","0.00","18","35","3"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-12","0.04","21","33","9"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-13","0.03","30","37","26"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-14","0.00","31","37","21"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-15","0.00","28","45","17"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-16","0.00","30","45","17"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-17","0.00","32","49","22"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-18","0.00","32","49","19"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-19","0.00","33","50","20"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-20","0.00","35","49","19"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-21","0.00","34","51","21"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-22","0.00","36","52","23"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-23","0.00","38","50","25"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-24","0.00","37","54","23"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2019-03-25","0.00","45","55","35"
