"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-01","0.03","62","72","43"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-02","0.00","48","63","32"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-03","0.01","47","50","40"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-04","0.36","46","52","40"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-05","0.13","44","54","37"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-06","0.00","43","53","37"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-07","0.07","44","51","35"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-08","0.01","50","68","46"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-09","0.04","53","60","45"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-10","0.14","52","57","36"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-11","0.01","39","47","29"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-12","0.00","33","53","21"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-13","0.00","37","48","28"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-14","0.07","47","55","40"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-15","0.15","47","59","38"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-16","0.09","48","55","35"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-17","0.06","43","51","34"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-18","0.24","45","50","38"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-19","0.06","43","52","33"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-20","0.05","38","49","32"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-21","0.03","47","56","40"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-22","0.23","48","55","36"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-23","0.00","41","56","31"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-24","0.00","43","52","34"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-25","0.17","45","54","37"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-26","0.06","49","55","45"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-27","0.11","48","51","45"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-28","0.01","50","57","38"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-29","0.00","41","56","29"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-30","0.50","47","55","41"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-10-31","0.20","48","54","39"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-11-01","0.00","43","51","34"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2016-11-02","0.00","41","56","29"
